0;1;2;3;4;5
-2.4;-2.4;-2.4;-2.4;-2.4;-2.4
-2.2;-2.2;-2.2;-2.2;-2.2;-2.2
-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
-1.98;-1.98;-1.98;-1.98;-1.98;-1.98
-1.9666666666666668;-1.9666666666666668;-1.9666666666666668;-1.9666666666666668;-1.9666666666666668;-1.9666666666666668
-1.9714285714285715;-1.9714285714285715;-1.9714285714285715;-1.9714285714285715;-1.9714285714285715;-1.9714285714285715
-1.975;-1.975;-1.975;-1.975;-1.975;-1.975
-2.011111111111111;-2.011111111111111;-2.011111111111111;-2.011111111111111;-2.011111111111111;-2.011111111111111
-2.0100000000000002;-2.0100000000000002;-2.0100000000000002;-2.0100000000000002;-2.0100000000000002;-2.0100000000000002
-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
-1.9230769230769231;-1.9230769230769231;-1.9230769230769231;-1.9230769230769231;-1.9230769230769231;-1.9230769230769231
-1.9142857142857144;-1.9142857142857144;-1.9142857142857144;-1.9142857142857144;-1.9142857142857144;-1.9142857142857144
-1.8466666666666667;-1.8466666666666667;-1.8466666666666667;-1.8466666666666667;-1.8466666666666667;-1.8466666666666667
-1.85625;-1.85625;-1.85625;-1.85625;-1.85625;-1.85625
-1.8647058823529412;-1.8647058823529412;-1.8647058823529412;-1.8647058823529412;-1.8647058823529412;-1.8647058823529412
-1.8666666666666667;-1.8666666666666667;-1.8666666666666667;-1.8666666666666667;-1.8666666666666667;-1.8666666666666667
-1.9263157894736842;-1.9263157894736842;-1.9263157894736842;-1.9263157894736842;-1.9263157894736842;-1.9263157894736842
-1.9300000000000002;-1.9300000000000002;-1.9300000000000002;-1.9300000000000002;-1.9300000000000002;-1.9300000000000002
-1.9714285714285713;-1.9714285714285713;-1.9714285714285713;-1.9714285714285713;-1.9714285714285713;-1.9714285714285713
-1.95;-1.95;-1.95;-1.95;-1.95;-1.95
-1.952173913043478;-1.952173913043478;-1.952173913043478;-1.952173913043478;-1.952173913043478;-1.952173913043478
-1.9875;-1.9875;-1.9875;-1.9875;-1.9875;-1.9875
-1.9880000000000002;-1.9880000000000002;-1.9880000000000002;-1.9880000000000002;-1.9880000000000002;-1.9880000000000002
-2.0076923076923077;-2.0076923076923077;-2.0076923076923077;-2.0076923076923077;-2.0076923076923077;-2.0076923076923077
